Reaction number,Reaction ID,Original equation,Compartment,dGr_prime (kJ/mol),SD of dGr_prime (kJ/mol),Annotation
314,r_0358,"ATP + 2.0 H+ + myo-inositol 1,3,4,5,6-pentakisphosphate + 2.0 phosphate => 5,6-bis(diphospho)-1D-myo-inositol tetrakisphosphate + ADP + 2.0 H2O",c,48.82921496533555,2.0764996744654183,"sbo: SBO:0000176; ec-code: 2.7.4.21; kegg.pathway: ['sce04070', 'sce04138']; pubmed: 11956213"
722,r_0953,ammonium + 2.0 H2O + 0.5 oxygen + pyridoxal => 2.0 hydrogen peroxide + pyridoxamine,c,379.5610818945729,8.063508987426758,sbo: SBO:0000176; ec-code: 1.4.3.5; bigg.reaction: PYDXO; kegg.pathway: sce00750; metanetx.reaction: MNXR103365
764,r_0999,iron(2+) + sirohydrochlorin => 2.0 H+ + siroheme,c,340.7805472656608,61.20006896245567,"sbo: SBO:0000176; ec-code: ['1.3.1.76', '4.99.1.4']; bigg.reaction: SHCHF; kegg.pathway: ['sce00860', 'sce01110']; kegg.reaction: R02864; metanetx.reaction: MNXR104375; pubmed: 11980703"
1632,r_2256,4.0 H+ + H2O + trans-oct-2-enoyl-CoA => (R)-3-hydroxyoctanoyl-CoA,p,-9.781259530646429,1.8103710874038488,"sbo: SBO:0000176; ec-code: ['1.1.1.n12', '4.2.1.119']; metanetx.reaction: MNXR118594; pubmed: 12697341"
1639,r_2263,"4.0 H+ + H2O + trans-2,cis-9-octadecadienoyl-CoA => (R)-3-hydroxy-cis-octadec-9-enoyl-CoA",p,-22.07618476258026,3.4964459678738407,"sbo: SBO:0000176; ec-code: ['1.1.1.n12', '4.2.1.119']; pubmed: 12697341"
3595,r_4248,D-Serine => ammonium + pyruvate,c,-28.297368996845787,1.0928949117660522,sbo: SBO:0000176; ec-code: 4.3.1.18; bigg.reaction: SERD_D; kegg.reaction: R00221; metanetx.reaction: MNXR104338
