,dGr_prime,SD of dGr_prime
r_0090,-0.12112772413264458,3.7864725292614834
r_0091,-22.435835216058038,1.235133037116127
r_0092,-25.130437249450928,0.3395312887809727
r_0093,-1.9832557694540158,0.15028564447175866
r_0094,-2.7397673442954837,3.3151361784175872
r_0095,-16.278898515464512,2.8150277137756348
r_0096,-22.888648709959256,5.7523995391596205
r_0097,-17.96015735031681,4.534312022419504
r_0099,-2.0043676602513614,1.5570604801177979
r_0100,-26.49745665444084,1.4966739416122437
r_0101,-26.49748144997352,1.4967249631881714
r_0102,-26.497492894065317,1.4967093467712402
r_0103,27.21438475847195,0.9905747175216675
r_0104,26.75967814429316,0.9905751347541809
r_0105,-26.497458561789443,1.4967120885849
r_0106,-26.497454747092434,1.4967021942138672
r_0107,-26.49746428383557,1.496711254119873
r_0108,-14.400784599205041,2.1046815127101377
r_0109,0.1423202733550275,2.104696222167573
r_0111,-44.89546292767204,0.6216572628166938
r_0112,-5.813776663946964,0.42446407675743103
r_0113,-5.873266911099684,0.42446330189704895
r_0114,-5.813792399573185,0.4244620203971863
r_0115,15.514237903016493,0.960904061794281
r_0116,-11.091053009033203,0.4067274332046509
r_0117,-0.6746052402386269,1.837882399559021
r_0118,-2.570421934310396,1.7711694240570068
r_0119,-61.87378739295843,0.6905922585882371
r_0120,-84.36705745974058,4.717034816741943
r_0121,-84.3670574597406,4.717014312744141
r_0122,-84.3670879773187,4.717031955718994
r_0123,-84.36709560671324,4.717021942138672
r_0124,-84.36706508913511,4.717032432556152
r_0125,-84.36705745974058,4.717021942138672
r_0126,-3.463482949921513,2.2497851848602295
r_0127,-4.671661470121961,2.1216301918029785
r_0128,-3.4634781815499025,2.24979567527771
r_0129,-4.546590898230249,2.753464460372925
r_0130,-3.4634657837831213,2.249795913696289
r_0131,-3.4634438492740856,2.2497894763946533
r_0132,-4.671651933378797,2.1216373443603516
r_0133,-3.4634755589450776,2.249800205230713
r_0134,-4.546595666602286,2.7534854412078857
r_0135,-3.4634610154115393,2.2497639656066895
r_0137,,
r_0138,-22.696581062881904,0.5803473359122074
r_0139,-18.936027013987086,0.6104010939598083
r_0140,-22.692089019267588,0.580346653915786
r_0142,-15.247177234854078,0.41257277432914113
r_0143,-22.694553142852946,0.5803422303432808
r_0144,35.42991858092663,1.9507275819778442
r_0145,-20.878958576721505,4.619304481501867
r_0146,15.185518505333615,6.1394734382629395
r_0147,1.945274996227841,2.087127685546875
r_0148,-1.3736660753870886,0.15032418072223663
r_0149,-0.5745101678175644,0.150328129529953
r_0150,-0.5743842262875631,0.15030544996261597
r_0151,25.09010551849223,2.718245267868042
r_0152,10.982440055768723,1.0199978351593018
r_0153,-1.758740269903719,1.0285726129055626
r_0154,-2.496614373419858,1.7681069938276117
r_0155,-37.343726663950925,2.4518048248881943
r_0156,-15.454267841325269,1.2471811771392822
r_0157,,
r_0158,-10.935092065481705,2.1341748237609863
r_0159,-9.636484238797818,1.9449455738067627
r_0160,-10.69184026489082,1.8168163299560547
r_0161,-11.043778512602271,2.121128559112549
r_0162,-9.446621032411576,2.5667872428894043
r_0163,20.031901021912,0.8558126245381407
r_0164,-26.854642425996833,0.901831824639638
r_0165,-20.03208774498378,0.855809290741387
r_0166,-20.3600149580542,2.7687119968924483
r_0167,-20.36020122002966,2.7687196682088357
r_0168,-20.359982762537655,2.768718885991786
r_0169,-17.61920272694355,2.6320645003119907
r_0170,-17.619389172202162,2.6320674384552003
r_0171,-17.619170531427006,2.6320618611804094
r_0172,-39.3453159424315,1.6253237245340273
r_0173,-44.993332018604285,1.3047117633019216
r_0174,-59.945567528881924,1.3046721171409759
r_0175,-59.9457032094535,1.304713201697353
r_0176,-55.77834094538411,2.949453527071248
r_0177,-40.828561611986075,2.949485560353989
r_0178,-55.77847662595568,2.949488160456771
r_0179,-17.60635376524268,1.6321033210272293
r_0180,-17.60654094553979,1.6321113626651877
r_0181,-17.606321569726134,1.6321197611564209
r_0182,-20.41755539327558,2.920572051155931
r_0183,-20.41773997524805,2.9205805849291635
r_0184,-20.417523197759028,2.9205900118149755
r_0185,-7.909251148826268,12.486995968411026
r_0186,-16.063130934280053,2.6329868818136046
r_0187,-16.063318253750356,2.632991898154402
r_0188,-61.399521705370105,0.8944844398691688
r_0189,2.9615351036022366,2.4924893379211426
r_0190,-14.234387215902242,4.294394926168631
r_0191,-31.63559105959304,6.335614045079487
r_0192,-8.96394625657883,0.937375511107148
r_0193,-14.350377000699922,1.0946228504180908
r_0194,-14.3506948465742,1.0946192741394043
r_0195,-11.516988304021327,1.3334799995576976
r_0198,-13.368381792899761,0.7894268035888672
r_0199,-11.748237673500906,0.9397199153900146
r_0200,-95.50122643745829,5.370837211608887
r_0201,-53.43077027214215,1.5647264864278416
r_0202,-28.196433248149905,5.503789901733398
r_0203,-199.61912776189138,8.178834261587497
r_0204,-35.53651994557943,0.6570453648870207
r_0205,-27.459409134296155,1.101805076385806
r_0206,-30.935697598295256,3.2860586643218994
r_0207,21.237157346528875,2.5857326984405518
r_0208,-1.1145818293941918,1.6645269476159414
r_0209,,
r_0210,,
r_0211,-34.71078883539279,0.9287737052627194
r_0212,,
r_0213,,
r_0214,-22.088543469841003,1.838215828625545
r_0215,15.337094868147744,0.9609075784683228
r_0216,3.639218770200749,0.45244258642196655
r_0217,-3.63800767130202,0.4524461030960083
r_0218,3.638600019359224,0.45244449377059937
r_0219,-2.9452483204795756,1.6676469807592817
r_0220,,
r_0221,,
r_0222,9.527648246333605,0.38402851933692644
r_0223,,
r_0224,9.526972775372426,0.3839931738864981
r_0225,-17.313433684266357,16.874853134155273
r_0226,0.7397700138810919,0.33050736194898617
r_0227,-27.14986086822722,0.3305129811961148
r_0228,-12.4952613470027,0.9373300503527351
r_0229,,
r_0230,15.813685123901504,4.036073467867084
r_0231,-48.32060043932819,8.068502147564352
r_0233,-393.47630741463774,5.908897019917558
r_0234,,
r_0235,-8.492304679213458,5.760082721710205
r_0236,-9.35331040026711,3.212495173675163
r_0237,-9.474517675662737,2.0992731289973756
r_0238,-396.79565895191814,2.759258332214842
r_0239,-437.92209965713005,4.0673363007284795
r_0240,,
r_0241,,
r_0242,-420.70669559823324,6.3200028888523105
